GREEN,RED,IR
1745304,1530656,1185572
1745091,1530902,1184297
1745204,1530170,1183856
1745009,1530000,1184397
1745052,1530051,1184014
1745026,1529917,1183323
1745294,1529864,1183617
1745235,1529850,1182412
1745209,1529473,1182005
1744936,1529452,1181684
1745091,1529483,1181851
1744897,1529311,1181904
1744774,1529349,1182051
1744167,1529066,1181759
1744167,1528721,1181110
1744309,1528570,1181046
1744247,1528422,1180810
1744434,1528592,1180762
1744247,1528293,1180592
1744287,1528187,1180220
1743855,1528708,1179851
1744022,1529033,1180290
1743879,1528849,1180609
1744064,1529168,1180482
1743901,1529359,1179875
1743831,1529097,1180713
1743598,1529377,1180631
1743628,1529630,1180363
1744037,1529716,1181029
1744295,1530182,1180415
1743978,1530469,1181387
1743933,1530529,1181292
1743800,1531084,1180892
1743856,1531342,1181295
1743851,1531696,1181688
1743708,1532091,1181519
1743708,1532231,1181450
1743734,1532653,1181975
1743924,1532570,1182333
1743717,1532913,1182510
1743909,1533146,1182794
1744068,1533406,1183009
1743838,1533750,1182133
1743464,1533897,1181777
1743761,1533846,1181846
1743957,1534102,1182701
1743731,1534311,1183253
1743937,1534640,1182031
1743647,1534481,1183286
1743431,1534534,1182064
1743825,1534769,1182321
1743990,1534795,1182249
1744067,1535228,1181941
1744206,1535416,1183214
1743996,1535725,1182534
1743723,1535818,1182108
1743938,1536205,1181249
1744035,1536921,1181861
1743640,1537191,1182700
1743546,1537697,1183773
1743546,1538031,1183226
1743707,1538453,1183935
1743433,1539160,1183490
1743505,1539260,1183869
1743652,1539416,1183083
1743230,1540050,1183153
1743336,1540236,1182812
1743523,1540306,1182004
1743647,1540903,1181225
1743587,1540994,1180897
1743428,1541029,1179387
1743239,1541418,1179958
1743297,1541740,1177400
1743661,1542066,1176974
1743754,1542281,1175966
1743584,1542091,1175513
1743577,1541831,1176125
1743365,1541703,1175266
1743209,1541265,1175113
1743040,1540954,1174416
1742510,1540542,1174040
1742510,1540086,1173086
1742362,1539467,1174294
1742019,1539238,1173654
1741694,1539116,1173316
1741565,1538590,1172460
1741542,1538370,1172083
1740861,1538345,1171374
1740578,1538484,1172696
1740418,1538570,1171716
1740694,1538693,1171212
1740303,1538775,1170504
1740387,1538542,1170887
1740124,1538550,1170675
1740200,1538664,1170107
1740381,1538742,1170423
1740367,1539054,1169585
1740288,1539180,1170731
1739900,1539645,1169709
1739592,1539702,1170811
1739271,1539026,1170292
1739747,1539187,1170416
1739752,1538826,1169310
1739240,1539187,1169561
1738824,1539214,1169100
1739007,1539283,1170189
1738861,1539146,1169302
1739094,1539321,1169335
1738789,1539212,1169062
1738666,1538891,1168759
1738400,1538815,1169773
1738520,1539030,1169032
1738424,1538952,1169607
1738813,1539350,1169792
1738598,1539030,1169338
1738452,1539244,1169442
1738513,1539045,1168480
1738529,1539661,1168975
1738826,1539861,1169388
1738425,1540287,1168732
1738184,1540089,1170224
1738184,1540406,1169219
1738163,1540596,1169952
1738434,1540662,1169694
1738415,1540774,1169689
1738482,1541214,1168360
1738275,1541331,1169263
1738134,1541828,1168383
1738037,1542603,1169414
1737989,1542528,1169288
1737982,1543076,1170329
1738456,1542823,1168889
1738075,1543281,1169571
1738154,1543537,1169405
1738227,1544164,1170016
1737893,1543342,1168572
1738557,1543920,1169328
1738454,1543860,1169349
1738631,1544316,1168810
1738485,1544331,1169403
1738583,1544364,1170073
1738259,1544683,1170322
1738421,1544779,1170807
1738174,1545057,1171427
1738436,1544828,1171464
1738344,1545418,1172360
1738664,1546216,1171383
1738310,1545803,1172674
1738158,1543670,1173005
1737367,1541789,1173454
1737600,1541569,1174685
1736766,1541341,1174795
1736336,1541004,1174112
1736056,1540938,1173891
1735914,1540528,1173231
1735672,1540277,1173819
1735699,1540303,1172562
1735410,1540208,1171998
1735068,1539851,1171217
1735068,1540126,1170819
1735300,1540061,1170311
1735138,1540330,1169372
1735342,1540609,1169675
1735081,1540394,1169299
1735416,1540348,1169089
1735391,1540639,1167253
1735096,1540957,1169136
1734647,1541129,1168612
1734461,1541380,1169066
1734461,1541310,1168237
1734352,1541239,1169413
1734492,1541239,1168600
1734431,1541156,1168369
1734341,1540757,1169619
1734063,1540908,1169619
1734081,1540694,1169927
1733945,1540693,1170174
1733863,1540307,1169851
1733826,1540474,1169655
1733593,1540022,1169685
1733158,1539868,1172298
1733635,1540442,1173104
1733573,1540222,1174136
1733154,1540501,1174928
1732990,1541012,1175071
1733231,1541144,1175017
1733354,1541702,1176201
1732720,1541682,1176805
1732875,1541771,1177219
1732918,1541792,1178110
1732838,1541928,1178738
1733118,1542037,1179379
1733037,1541905,1178310
1732939,1541712,1177847
1732854,1542020,1178668
1733075,1542200,1178306
1733068,1542473,1178827
1733544,1542968,1179149
1733364,1542604,1179809
1733530,1542337,1179190
1733206,1542614,1180299
1733331,1542764,1180435
1732976,1543093,1179920
1732956,1543164,1180346
1732956,1543205,1180749
1733278,1543245,1180478
1733208,1543744,1180129
1733064,1544010,1180494
1733158,1543432,1181233
1733147,1543419,1181121
1733401,1543656,1181822
1733298,1544046,1181021
1733468,1544245,1182257
1733228,1544405,1181297
1733220,1544303,1181710
1733276,1544005,1180947
1733571,1544343,1180517
1733547,1544296,1180906
1733941,1544362,1181377
1733973,1544399,1181958
1734102,1544505,1182229
1734029,1544679,1182359
1733704,1545095,1181865
1733973,1545173,1182145
1733919,1545631,1182776
1733618,1545600,1182808
1733618,1545798,1182675
1733741,1545783,1182849
1733794,1546014,1183038
1733498,1545841,1182051
1733935,1545581,1182491
1734071,1545277,1181930
1733777,1544284,1181073
1732990,1544044,1180158
1732919,1541775,1179917
1731672,1540101,1179360
1731172,1539816,1179126
1730362,1539690,1178654
1730661,1540223,1177858
1730660,1540012,1177307
1730726,1539763,1177381
1730092,1539867,1176093
1731424,1540003,1176553
1730744,1540341,1175667
1730017,1540800,1176179
1729950,1540431,1175826
1729891,1540707,1175819
1729533,1540568,1175991
1730486,1540516,1175440
1730259,1540195,1175312
1729569,1540376,1175883
1729491,1540004,1175017
1729468,1539979,1175106
1729040,1539881,1175079
1729767,1539710,1175672
1729395,1539538,1175147
1729135,1539516,1175388
1729008,1539590,1174392
1729175,1539614,1175680
1728502,1539985,1175089
1728662,1540018,1174851
1728662,1539912,1175396
1728481,1540199,1175971
1728577,1540201,1175406
1728611,1540376,1174169
1728583,1540266,1175497
1728110,1539917,1174839
1728392,1541055,1175596
1728207,1541473,1174800
1728207,1541001,1175483
1727815,1541262,1175156
1728340,1541551,1175671
1728122,1541452,1175783
1728223,1541855,1176781
1728426,1541728,1177176
1728379,1541679,1177530
1728300,1541824,1178218
1728526,1541853,1179179
1728726,1541848,1179850
1728598,1542333,1180051
1728703,1542473,1179815
1728378,1542891,1179815
1727907,1542986,1179895
1727907,1542954,1179504
1728279,1542999,1180396
1728304,1543071,1180181
1728163,1543205,1180018
1728229,1542984,1181643
1728426,1543106,1181250
1728466,1543427,1181129
1728222,1543827,1181225
1728283,1543946,1182055
1728584,1543936,1181282
1728288,1544120,1181950
1728294,1543986,1181619
1728254,1543963,1182122
1728393,1544217,1182319
1728897,1544127,1182990
1729101,1544303,1182376
1728925,1544681,1182905
1729065,1544446,1183190
1728994,1544692,1184146
1729128,1544846,1183253
1729275,1545320,1184472
1728837,1545693,1184962
1728837,1545779,1185094
1728807,1545632,1185641
1728913,1545815,1185789
1729152,1545908,1186377
1729187,1545874,1185572
1728938,1545382,1186529
1728848,1545736,1185753
1729132,1546193,1185784
1729347,1546574,1185008
1729371,1546653,1185539
1729431,1547030,1184387
1729480,1546921,1184453
1729521,1546770,1183785
1729585,1547358,1183690
1729763,1547366,1183554
1729901,1547428,1184509
1729932,1547455,1183296
1730154,1547423,1184179
1730148,1547045,1183527
1729826,1547238,1183820
1729890,1546645,1183665
1729563,1546399,1183388
1729016,1545599,1183969
1729016,1545062,1183852
1728939,1544201,1184305
1729055,1543952,1184053
1728824,1543070,1184121
1728288,1541909,1184110
1727808,1541951,1184567
1727251,1541735,1184530
1727126,1542069,1184902
1726797,1541866,1184564
1726795,1542026,1185880
1726745,1541957,1185851
1726463,1541746,1186019
1726599,1541546,1185854
1726643,1541827,1186821
1726686,1541899,1186828
1726501,1541771,1186860
1726356,1541761,1185456
1726206,1541828,1185410
1726165,1542026,1185719
1726200,1542249,1185916
1725935,1542461,1186531
1725695,1542544,1187038
1725695,1542357,1186633
1725752,1542494,1186836
1725709,1542197,1186788
1725580,1542474,1186737
1725443,1541829,1187574
1725523,1541494,1187213
1725298,1541652,1187167
1725332,1541880,1186776
1725036,1541739,1187528
1725147,1541680,1187019
1724736,1541367,1187500
1724701,1541095,1187203
1724595,1541439,1188414
1724611,1541115,1187597
1724796,1541426,1188432
1725032,1541041,1188780
1724674,1541258,1188763
1724926,1541044,1188074
1724846,1541583,1188093
1724900,1541429,1188599
1724631,1542066,1189571
1724557,1541959,1189203
1724557,1542338,1188947
1724369,1542515,1189122
1724448,1542523,1189310
1724555,1542469,1189342
1724647,1542541,1189455
1724327,1542251,1189335
1724531,1542816,1189595
1724270,1542944,1189439
1724376,1543028,1190180
1724430,1543471,1190915
1724708,1543366,1190641
1724377,1543171,1190206
1724680,1543000,1189828
1724513,1543042,1190320
1724717,1542851,1191037
1724971,1542961,1190700
1724925,1542720,1190665
1725178,1542480,1190746
1725065,1542719,1190203
1724991,1542552,1190320
1725040,1543008,1191826
1724573,1543103,1191401
1724573,1543376,1191597
1724749,1543548,1191345
1724823,1543271,1191437
1725058,1543310,1191516
1724661,1543113,1191665
1724776,1543194,1192418
1725026,1543866,1192567
1725046,1543977,1192773
1725143,1543990,1193353
1725184,1544095,1193296
1725296,1544366,1193105
1725038,1544098,1193748
1725234,1544006,1193098
1725493,1543912,1192782
1725600,1544256,1193138
1725708,1544168,1193346
1725609,1544174,1193127
1726235,1543971,1192625
1725984,1543971,1191979
1725995,1544176,1190618
1726141,1544385,1190368
1726093,1544253,1190353
1726093,1544030,1189191
1725972,1543681,1189316
1726121,1543830,1189143
1726301,1543810,1189261
1726397,1543863,1189713
1726348,1543456,1190048
1726805,1543505,1190486
1726631,1543546,1190233
1726601,1543474,1190617
1726710,1543646,1190358
1726942,1543716,1190580
1726675,1543456,1190092
1726884,1543583,1190190
1726941,1543625,1190829
1727113,1543394,1191389
1727407,1543433,1190642
1727181,1543005,1189880
1727001,1542294,1189909
1726810,1541947,1189806
1726373,1541494,1189002
1726287,1541126,1190044
1725684,1540730,1189820
1725153,1539185,1189137
1724701,1539152,1188905
1724534,1539431,1189193
1724429,1539874,1189294
1724023,1540624,1188889
1723393,1541001,1188925
1723406,1541617,1189390
1723250,1542033,1189520
1723207,1542259,1188940
1722834,1542827,1189224
1722597,1542804,1189914
1722273,1544245,1190167
1722106,1544970,1189762
1722079,1545272,1190687
1722234,1546042,1189489
1722792,1546375,1190427
1721897,1546383,1190263
1721806,1546683,1190509
1721876,1546833,1190774
1721687,1547210,1191397
1721424,1547035,1190750
1721424,1546805,1190589
1722563,1546833,1191143
1721606,1547057,1190484
1721124,1546719,1190852
1720989,1546113,1190507
1721116,1545645,1190769
1721375,1545570,1190626
1720908,1545679,1191315
1720906,1544851,1191211
1720704,1544755,1191471
1720612,1544770,1191022
1721804,1544310,1192665
1720642,1544474,1191770
1720388,1544932,1192334
1720512,1544789,1192372
1720719,1545152,1193293
1720629,1545522,1192796
1721590,1545331,1193092
