Initializing AFE4404...
Initialized Success!
PD4:1601187, PD2:1205337
PD4:1600870, PD2:1204981
PD4:1601492, PD2:1206226
PD4:1601263, PD2:1208087
PD4:1600975, PD2:1209999
PD4:1601026, PD2:1211793
PD4:1600525, PD2:1214073
PD4:1600360, PD2:1222203
PD4:1599921, PD2:1230989
PD4:1599136, PD2:1240316
PD4:1597874, PD2:1251627
PD4:1597729, PD2:1255393
PD4:1597123, PD2:1259291
PD4:1597069, PD2:1263190
PD4:1596881, PD2:1267184
PD4:1596534, PD2:1270835
PD4:1596015, PD2:1274600
PD4:1595924, PD2:1277679
PD4:1595543, PD2:1280132
PD4:1595622, PD2:1282070
PD4:1595377, PD2:1283189
PD4:1595291, PD2:1283633
PD4:1594847, PD2:1284187
PD4:1594877, PD2:1284738
PD4:1594938, PD2:1285524
PD4:1595147, PD2:1286108
PD4:1594877, PD2:1286451
PD4:1594616, PD2:1286404
PD4:1594525, PD2:1286629
PD4:1594559, PD2:1286930
PD4:1594405, PD2:1287588
PD4:1593790, PD2:1288230
PD4:1593337, PD2:1288845
PD4:1593337, PD2:1288914
PD4:1593516, PD2:1289009
PD4:1593347, PD2:1288626
PD4:1593178, PD2:1288632
PD4:1593143, PD2:1288378
PD4:1593050, PD2:1288816
PD4:1593016, PD2:1288588
PD4:1592576, PD2:1288622
PD4:1592381, PD2:1288767
PD4:1592933, PD2:1289044
PD4:1592697, PD2:1289168
PD4:1592541, PD2:1288894
PD4:1592124, PD2:1289140
PD4:1592223, PD2:1289561
PD4:1592444, PD2:1289954
PD4:1592611, PD2:1290246
PD4:1592403, PD2:1289784
PD4:1592499, PD2:1289442
PD4:1592574, PD2:1290065
PD4:1592455, PD2:1291171
PD4:1592231, PD2:1291632
PD4:1591953, PD2:1291537
PD4:1591869, PD2:1289236
PD4:1591738, PD2:1287668
PD4:1592297, PD2:1284019
PD4:1592186, PD2:1283227
PD4:1592225, PD2:1282938
PD4:1592026, PD2:1279132
PD4:1592187, PD2:1273019
PD4:1591890, PD2:1271113
PD4:1591499, PD2:1272661
PD4:1591479, PD2:1274560
PD4:1591271, PD2:1275980
PD4:1590928, PD2:1277131
PD4:1590650, PD2:1280104
PD4:1590303, PD2:1281787
PD4:1590301, PD2:1283716
PD4:1590360, PD2:1285238
PD4:1589780, PD2:1287201
PD4:1589686, PD2:1291824
PD4:1589089, PD2:1294876
PD4:1589158, PD2:1296321
PD4:1588732, PD2:1296844
PD4:1588140, PD2:1297830
PD4:1588394, PD2:1298288
PD4:1588293, PD2:1297773
PD4:1588424, PD2:1296997
PD4:1588221, PD2:1296314
PD4:1587853, PD2:1295646
PD4:1587897, PD2:1295097
PD4:1587906, PD2:1294440
PD4:1587971, PD2:1293859
PD4:1587792, PD2:1293801
PD4:1587947, PD2:1293386
PD4:1587666, PD2:1294373
PD4:1587398, PD2:1296166
PD4:1587479, PD2:1295913
PD4:1587359, PD2:1293977
PD4:1587427, PD2:1293948
PD4:1587575, PD2:1294063
PD4:1587411, PD2:1294697
PD4:1587083, PD2:1295004
PD4:1587521, PD2:1295313
PD4:1587239, PD2:1295792
PD4:1587075, PD2:1296416
PD4:1587001, PD2:1296880
PD4:1586703, PD2:1297752
PD4:1586604, PD2:1301500
PD4:1586362, PD2:1305373
PD4:1586387, PD2:1304366
PD4:1586147, PD2:1302193
PD4:1586467, PD2:1302155
PD4:1586323, PD2:1301954
PD4:1586427, PD2:1301455
PD4:1586171, PD2:1300569
PD4:1586062, PD2:1299411
PD4:1585784, PD2:1297517
PD4:1586107, PD2:1295004
PD4:1585864, PD2:1292310
PD4:1585674, PD2:1289095
PD4:1585500, PD2:1286239
PD4:1585127, PD2:1283082
PD4:1584908, PD2:1282622
PD4:1584878, PD2:1279273
PD4:1584426, PD2:1276861
PD4:1584733, PD2:1277378
PD4:1584403, PD2:1277582
PD4:1584551, PD2:1278267
PD4:1584246, PD2:1280355
PD4:1583846, PD2:1281975
PD4:1583884, PD2:1283212
PD4:1583899, PD2:1283667
PD4:1583916, PD2:1283428
PD4:1583751, PD2:1283141
PD4:1583952, PD2:1282244
PD4:1583590, PD2:1281609
PD4:1583741, PD2:1281336
PD4:1583428, PD2:1281218
PD4:1583918, PD2:1280971
PD4:1583605, PD2:1280782
PD4:1583820, PD2:1280125
PD4:1583616, PD2:1279422
PD4:1583647, PD2:1278675
PD4:1583300, PD2:1277393
PD4:1583520, PD2:1276316
PD4:1583315, PD2:1274353
PD4:1583532, PD2:1274513
PD4:1583131, PD2:1274281
PD4:1583262, PD2:1274112
PD4:1583123, PD2:1274180
PD4:1583087, PD2:1274536
PD4:1582803, PD2:1274429
PD4:1583212, PD2:1274062
PD4:1583015, PD2:1273311
PD4:1583151, PD2:1272480
PD4:1582954, PD2:1271192
PD4:1582706, PD2:1270382
PD4:1582948, PD2:1269957
PD4:1582956, PD2:1270164
PD4:1583363, PD2:1270649
PD4:1583143, PD2:1271122
PD4:1583288, PD2:1270661
PD4:1583123, PD2:1270505
PD4:1583421, PD2:1270032
PD4:1582936, PD2:1269710
PD4:1583240, PD2:1269256
PD4:1583011, PD2:1268149
PD4:1583284, PD2:1268040
PD4:1582907, PD2:1268222
PD4:1583170, PD2:1268712
PD4:1583046, PD2:1268959
PD4:1582913, PD2:1268848
PD4:1583039, PD2:1268603
PD4:1583072, PD2:1268031
PD4:1582939, PD2:1267723
PD4:1583057, PD2:1267455
PD4:1583070, PD2:1267381
PD4:1583059, PD2:1266963
PD4:1582994, PD2:1266431
PD4:1582899, PD2:1262105
PD4:1582359, PD2:1260336
PD4:1581955, PD2:1263945
PD4:1580923, PD2:1267205
PD4:1581383, PD2:1267468
PD4:1581230, PD2:1267183
PD4:1581216, PD2:1267065
PD4:1580888, PD2:1267301
PD4:1580735, PD2:1267758
PD4:1581068, PD2:1269904
PD4:1580704, PD2:1271665
PD4:1580486, PD2:1274001
PD4:1580325, PD2:1270876
PD4:1580247, PD2:1265938
PD4:1579964, PD2:1261945
PD4:1579551, PD2:1259297
PD4:1579809, PD2:1258982
PD4:1579929, PD2:1258876
PD4:1579795, PD2:1258578
PD4:1579529, PD2:1258382
PD4:1579205, PD2:1258052
PD4:1579348, PD2:1257173
PD4:1579132, PD2:1256578
PD4:1579188, PD2:1255942
PD4:1578700, PD2:1255741
PD4:1578916, PD2:1255588
PD4:1579240, PD2:1255711
PD4:1578944, PD2:1253795
PD4:1578969, PD2:1251558
PD4:1579276, PD2:1249600
PD4:1579244, PD2:1248522
PD4:1578827, PD2:1243825
PD4:1579074, PD2:1242921
PD4:1579279, PD2:1241881
PD4:1578934, PD2:1241390
PD4:1578809, PD2:1242523
PD4:1578850, PD2:1244663
PD4:1578922, PD2:1244620
PD4:1579016, PD2:1243383
PD4:1579148, PD2:1241403
PD4:1578410, PD2:1238823
PD4:1578604, PD2:1237672
PD4:1578294, PD2:1236503
PD4:1577757, PD2:1235609
PD4:1577383, PD2:1234739
PD4:1577313, PD2:1234339
PD4:1577016, PD2:1234431
PD4:1576802, PD2:1234921
PD4:1576622, PD2:1235882
PD4:1576589, PD2:1236472
PD4:1576454, PD2:1238689
PD4:1576046, PD2:1239505
PD4:1575958, PD2:1241898
PD4:1575494, PD2:1248094
PD4:1575548, PD2:1249745
PD4:1575461, PD2:1250005
PD4:1575369, PD2:1249794
PD4:1575051, PD2:1248170
PD4:1574909, PD2:1247817
PD4:1574810, PD2:1246952
PD4:1574591, PD2:1246424
PD4:1574306, PD2:1243088
PD4:1573948, PD2:1236843
PD4:1573768, PD2:1234181
PD4:1573620, PD2:1233975
PD4:1573717, PD2:1229763
PD4:1573668, PD2:1228692
PD4:1573513, PD2:1227359
PD4:1573070, PD2:1226255
PD4:1573106, PD2:1226243
PD4:1573249, PD2:1225665
PD4:1573163, PD2:1225776
PD4:1572996, PD2:1227616
PD4:1572695, PD2:1229050
PD4:1573060, PD2:1228139
PD4:1572888, PD2:1227113
PD4:1572378, PD2:1227736
PD4:1572967, PD2:1227838
PD4:1572938, PD2:1226357
PD4:1572938, PD2:1224373
PD4:1572947, PD2:1222471
PD4:1572868, PD2:1221084
PD4:1572464, PD2:1220249
PD4:1572845, PD2:1219463
PD4:1572463, PD2:1217293
PD4:1572459, PD2:1216011
PD4:1572185, PD2:1213761
PD4:1571648, PD2:1211422
PD4:1571810, PD2:1209104
PD4:1571664, PD2:1207521
PD4:1571639, PD2:1206626
PD4:1571374, PD2:1206148
PD4:1570786, PD2:1206550
PD4:1570213, PD2:1203713
PD4:1569823, PD2:1202540
PD4:1569902, PD2:1203337
PD4:1569735, PD2:1204530
PD4:1569738, PD2:1205627
PD4:1569352, PD2:1205906
PD4:1569145, PD2:1205516
PD4:1569414, PD2:1204390
PD4:1569125, PD2:1203679
PD4:1569119, PD2:1203709
PD4:1568777, PD2:1204108
PD4:1568985, PD2:1208115
PD4:1568335, PD2:1212085
PD4:1568545, PD2:1213915
PD4:1567887, PD2:1209818
PD4:1568070, PD2:1208617
PD4:1567920, PD2:1207722
PD4:1567701, PD2:1207617
PD4:1567578, PD2:1208623
PD4:1567584, PD2:1210627
PD4:1567217, PD2:1212979
PD4:1567345, PD2:1214920
PD4:1567113, PD2:1216243
PD4:1567184, PD2:1216526
PD4:1567362, PD2:1216471
PD4:1567136, PD2:1215956
PD4:1567129, PD2:1215551
PD4:1567278, PD2:1215939
PD4:1567154, PD2:1216915
PD4:1567389, PD2:1217962
PD4:1567514, PD2:1219424
PD4:1567362, PD2:1220387
PD4:1567421, PD2:1220506
PD4:1567240, PD2:1220578
PD4:1567123, PD2:1220655
PD4:1567485, PD2:1221532
PD4:1567207, PD2:1222696
PD4:1566937, PD2:1225206
PD4:1566876, PD2:1226652
PD4:1566488, PD2:1228234
PD4:1566824, PD2:1228992
PD4:1566651, PD2:1228912
PD4:1566734, PD2:1229839
PD4:1566775, PD2:1229703
PD4:1566979, PD2:1225522
PD4:1566711, PD2:1222074
PD4:1566416, PD2:1223119
PD4:1566223, PD2:1223450
