GREEN,RED,IR
1670609,1492346,1566429
1670780,1492774,1564926
1670907,1492680,1564938
1671040,1493092,1564648
1670835,1493656,1564747
1670445,1494015,1564769
1670483,1494505,1565272
1670297,1494541,1564246
1670182,1494642,1562826
1669825,1494650,1561999
1669528,1494850,1560934
1669383,1494991,1556225
1668956,1495224,1554351
1669310,1495075,1551899
1669297,1495545,1549901
1669145,1495221,1547486
1669179,1495558,1545343
1669351,1495592,1542446
1669274,1495905,1540974
1669024,1496081,1540025
1669024,1496280,1539071
1668942,1496365,1538169
1668918,1496440,1537120
1668991,1496350,1536618
1669190,1496480,1536635
1669376,1496145,1535539
1669560,1496317,1536773
1670220,1496517,1536992
1670187,1496727,1536748
1670331,1496866,1536303
1670518,1497255,1536091
1670475,1496980,1536062
1670382,1496872,1536794
1670748,1497362,1537034
1670910,1497068,1537707
1671377,1497370,1537678
1671604,1497194,1536942
1671238,1497639,1537455
1671571,1497593,1537207
1671738,1497849,1537768
1671796,1497979,1537709
1672004,1498401,1537828
1671868,1498371,1537119
1671868,1498499,1536804
1672154,1498350,1536071
1672220,1498573,1536342
1672448,1498925,1536293
1672495,1498551,1536601
1672781,1498529,1536626
1673258,1498925,1536153
1673532,1499199,1536912
1673720,1499341,1537192
1673957,1499488,1537614
1674070,1499239,1537824
1674097,1499047,1538168
1673938,1499391,1537958
1674296,1499382,1539091
1674795,1499440,1538888
1674888,1499582,1539964
1675031,1499517,1539917
1675546,1499648,1540164
1675682,1499870,1540650
1675621,1499965,1541659
1675785,1500394,1541081
1675798,1500367,1542254
1675798,1500012,1542699
1675836,1499508,1542053
1675888,1498870,1542556
1675905,1498140,1543410
1675678,1497094,1543437
1675255,1495912,1544423
1674041,1494402,1544289
1673644,1493471,1544636
1673109,1493043,1544732
1672519,1492582,1544816
1672021,1491896,1545103
1671449,1491502,1544476
1671140,1491220,1544367
1670937,1490894,1544045
1670744,1491008,1543939
1670550,1490933,1544370
1670492,1490765,1545341
1670115,1490653,1545204
1670019,1490726,1544853
1670134,1490933,1544403
1670433,1491476,1545343
1670235,1491381,1545988
1670235,1491354,1546187
1670247,1491323,1546216
1670341,1491385,1546482
1670459,1491509,1547275
1670644,1491328,1546883
1670812,1491238,1548176
1670984,1491260,1548535
1671031,1491734,1549323
1670910,1491396,1550218
1671071,1491223,1550569
