Device disconnected: 68:37:22:d2:22:6d (Reason: 531)
Initializing AFE4404...
Initialized Success!
PD4:1741641, PD2:1441991
PD4:1741559, PD2:1442114
PD4:1741764, PD2:1442027
PD4:1741579, PD2:1442267
PD4:1741640, PD2:1442061
PD4:1741379, PD2:1442346
PD4:1741121, PD2:1442335
PD4:1741121, PD2:1442063
PD4:1741159, PD2:1441914
PD4:1741309, PD2:1441737
PD4:1741173, PD2:1441608
PD4:1741465, PD2:1441250
PD4:1741344, PD2:1440882
PD4:1741303, PD2:1441289
PD4:1741138, PD2:1441683
PD4:1741264, PD2:1441513
PD4:1741315, PD2:1441888
PD4:1741366, PD2:1441771
PD4:1741055, PD2:1441597
PD4:1741247, PD2:1441886
PD4:1741314, PD2:1442168
PD4:1741534, PD2:1442179
PD4:1742022, PD2:1442152
PD4:1742100, PD2:1442456
PD4:1742119, PD2:1442365
PD4:1741828, PD2:1442647
PD4:1741702, PD2:1442789
PD4:1742039, PD2:1442822
PD4:1741785, PD2:1443166
PD4:1741785, PD2:1443108
PD4:1741660, PD2:1443351
PD4:1741669, PD2:1443177
PD4:1741774, PD2:1443303
PD4:1741755, PD2:1443028
PD4:1742077, PD2:1442783
PD4:1741862, PD2:1442658
PD4:1741964, PD2:1442746
PD4:1741942, PD2:1442800
PD4:1742248, PD2:1442978
PD4:1742059, PD2:1443135
PD4:1742066, PD2:1443036
PD4:1741906, PD2:1442856
PD4:1742151, PD2:1443014
PD4:1742099, PD2:1443001
PD4:1742498, PD2:1443086
PD4:1742480, PD2:1443124
PD4:1742248, PD2:1443216
PD4:1742483, PD2:1443318
PD4:1742567, PD2:1443658
PD4:1742769, PD2:1443779
PD4:1742484, PD2:1443907
PD4:1742135, PD2:1444036
PD4:1742135, PD2:1444063
PD4:1742346, PD2:1444239
PD4:1742321, PD2:1444423
PD4:1742398, PD2:1444344
PD4:1742341, PD2:1444137
PD4:1742431, PD2:1444182
PD4:1742275, PD2:1444506
PD4:1742493, PD2:1444639
PD4:1742408, PD2:1444745
PD4:1742703, PD2:1444775
PD4:1742745, PD2:1444784
PD4:1742753, PD2:1444760
PD4:1742579, PD2:1444865
PD4:1742587, PD2:1444721
PD4:1742836, PD2:1444962
PD4:1743068, PD2:1445169
PD4:1743098, PD2:1445085
PD4:1743122, PD2:1445012
PD4:1743082, PD2:1445151
PD4:1742864, PD2:1445283
PD4:1742990, PD2:1445118
PD4:1742766, PD2:1444402
PD4:1742907, PD2:1444530
PD4:1743091, PD2:1444345
PD4:1742582, PD2:1444492
PD4:1742700, PD2:1444528
PD4:1742705, PD2:1444560
PD4:1742805, PD2:1444478
PD4:1742807, PD2:1444704
PD4:1742987, PD2:1444825
PD4:1742828, PD2:1444668
PD4:1742675, PD2:1444588
PD4:1742610, PD2:1444903
PD4:1742825, PD2:1445146
PD4:1743096, PD2:1445098
PD4:1743005, PD2:1445049
PD4:1743082, PD2:1445133
PD4:1743240, PD2:1445216
PD4:1743216, PD2:1445632
PD4:1743134, PD2:1445877
PD4:1743000, PD2:1446311
PD4:1742759, PD2:1446393
PD4:1742759, PD2:1445820
PD4:1742926, PD2:1445936
PD4:1742892, PD2:1446063
PD4:1743047, PD2:1446026
PD4:1743162, PD2:1445797
PD4:1742925, PD2:1445725
PD4:1743028, PD2:1445842
PD4:1742954, PD2:1445965
PD4:1742910, PD2:1445762
PD4:1743111, PD2:1445950
PD4:1743064, PD2:1445876
PD4:1742886, PD2:1445761
PD4:1742792, PD2:1445651
PD4:1742968, PD2:1445916
PD4:1743206, PD2:1445999
PD4:1743448, PD2:1446349
PD4:1743491, PD2:1446367
PD4:1743465, PD2:1446298
PD4:1743440, PD2:1446494
PD4:1743438, PD2:1446519
